,date,tweet_text
81,2020-03-25 06:33:56,@narendramodi @BJPindiaOffice @timesofindia @ShivSena Jai Maa Shakti.May Goddess Shakti keep our corona warriors in… https://t.co/euw6L6YcKV
82,2020-03-25 06:35:11,"@SimmiAhuja_ Idiots like you wishfully think 125 crore should be testing for virus?? Please, close you internet con… https://t.co/kt9Vr0z1SF"
83,2020-03-25 06:35:26,#21daysLockdown We've done lockdown into our home till 21 days. Now it's ur time to lockdown. Please 🙏 be serious a… https://t.co/Ec8rhLmsHl
84,2020-03-25 06:35:29,"@funnyhammy @GauravPandhi Dumbo, it's the amount that counts today in an emergency, not the period. Other countries… https://t.co/MSjg2ZBequ"
85,2020-03-25 06:35:47,Setting an example. Leading from the front. Full view of @PMOIndia @narendramodi #cabinetmeeting #Social_Distancing… https://t.co/lsmmBhTMNR
86,2020-03-25 06:36:25,"Contribute to INDIA FIGHTS CORONA @ Gandhinagar, Gujarat https://t.co/TmYbkv8D0v"
87,2020-03-25 06:36:41,39 out of 46 positive... all asymptotic.  Phew! https://t.co/3P6ciuS1LK
88,2020-03-25 06:36:42,"This picture has a lot to say.
😭😭
This is the last photo of the Dr Hadio Ali (Doctor recently died after treating t… https://t.co/Z5FSkr00NC"
89,2020-03-25 06:36:43,"@NarayanPremSai Significance of celebration of Hindu new year is uncountable.  #नववर्ष_पर_विश्वशांति_का_संकल्प , le… https://t.co/fcR8XKUMdI"
90,2020-03-25 06:37:05,"The problem is many in cowbelt don't know NE exists, they think the NE people with their mongolian looks are chines… https://t.co/REoi3TZ5p5"
91,2020-03-25 06:37:24,😞😞😞 Rest in Peace ✌️ https://t.co/FpgIkVP1Fg
92,2020-03-25 06:37:56,"The morons in police have stopped supply for essential good of various producers like पतंजलि, etc. Shops are closed… https://t.co/3sLyIuVbrr"
93,2020-03-25 06:38:19,@airtelindia Hi. Happy New Year! Struggling with no signsl for 2+ yrs. U r not supporting Vivo V9 and other Vivo mo… https://t.co/zoa8TAIiNw
94,2020-03-25 06:39:01,@Airtel_Presence Happy New Year! Struggling with no signsl for 2+ yrs. U r not supporting Vivo V9 and other Vivo mo… https://t.co/FYxhbCUQRL
95,2020-03-25 06:39:29,@airtelnews Hi. Happy New Year! Struggling with no signsl for 2+ yrs. U r not supporting Vivo V9 and other Vivo mod… https://t.co/saGyXtlp7E
96,2020-03-25 06:40:15,"@ vileparle # at home # Morning view , Lock down is Continued..😷😷stay at home, Stay Healthy.. keep social Distance.… https://t.co/b2sxi9PFVN"
97,2020-03-25 06:41:08,He mixes the medical with politics. Such self-levelled sympathisers act as a carrier of Corona virus.… https://t.co/LsSVDTZ5pe
98,2020-03-25 06:42:46,"@svatantraBharat Je ha 🌹🌹New year brings happiness &amp; joy , hope this year will bring safety from corona.… https://t.co/nSTsy98J6O"
99,2020-03-25 06:43:44,"@CMOMaharashtra @abpmajhatv @AjitPawarSpeaks @Dev_Fadnavis @PawarSpeaks @DGPMaharashtra 

All ministers should foll… https://t.co/kpV7YONpNE"
100,2020-03-25 06:44:28,"Wishing you all #HappyNavratri2020, the festival of Shakti. Praying to Maa Durga🙏
Let us all have the courage to fi… https://t.co/Grj5xOIyUb"
101,2020-03-25 06:44:45,This Tweet from @RajeevP6799 has been withheld in response to a report from the copyright holder. Learn more.
102,2020-03-25 06:44:56,"I would urge all #SidHearts and #Sreefam brigade to be corona warriors please be strong physically, mentally and em… https://t.co/soAPKcWbgr"
103,2020-03-25 06:45:00,"@AbadCityPolice @AbadCityPolice In order to minimise #Corona Virus impact. 
Citizens those who want to travel for e… https://t.co/zOI6Da0hSY"
104,2020-03-25 06:45:26,Many will die because of having so much negativity  for Government decisions . https://t.co/gU85K1KaIe
105,2020-03-25 06:45:31,"As we find ours crippled by the unknown, a look back at another day and time when a virus changed history. #History… https://t.co/OA7QUKWsR4"
106,2020-03-25 06:45:33,"The #21daysLockdown starts on Navaratri &amp; will end on Bengali New Year, hope that on the starting of the new year w… https://t.co/iWVvf6YC6X"
107,2020-03-25 06:46:21,NEW VIDEO ON CORONA VIRUS WITH A SOCIAL MESSAGE WILL BE UPLOADED TODAY ON YOUTUBE AROUND 2:30PM… https://t.co/jU0SEFWXyX
108,2020-03-25 06:47:32,"Well said.People to understand, present administrative measures are different than those against social evils,like… https://t.co/P357givmsE"
109,2020-03-25 06:47:43,at war agnst corona i cld rqst pmo &amp; hlth dep to thnk abt shortage of hlth wrks/ptnt. so dont you think gtng treate… https://t.co/VCZvmVZsON
110,2020-03-25 06:48:20,"Keeping in mind the infection of corona virus, everyone is requested to please do not leave your home unnecessary a… https://t.co/REPMJ5OEiX"
111,2020-03-25 06:48:59,"@umangmisra Entire world is under lock down and Factories have started running in China including Wuhan province.
N… https://t.co/3UixfSJ3we"
112,2020-03-25 06:49:34,I 'm glad @OmarAbdullah is being released after his illegal &amp; unjust detention. All others should be released too.… https://t.co/n6fCaRr9l4
113,2020-03-25 06:49:57,@AbijitG Get a little more creative and you and your wife could be the protagonist for the next historic best-selle… https://t.co/HUQJlxrTa3
114,2020-03-25 06:50:19,"@TelanganaCMO Dear Sir Good Afternoon, I am stick in Isnapur due to Corona Virus diseases and not able to go to Ben… https://t.co/1eTwSUaQ4Q"
115,2020-03-25 06:50:33,"Japanese calligraphy "" PEACE""

Rejuvenating the artist within..

#corona #coronaeffect #artist #painting #paintings… https://t.co/3GFu2vTS1x"
116,2020-03-25 06:50:58,"@CMOMaharashtra If one delivery boy can make 100 deliveries, you can stop 100 people coming out of the home.
2. Pls… https://t.co/GSOriyv6eD"
117,2020-03-25 06:51:21,A True Joker and he will entertain us like this way to next 21 days. @RahulGandhi @priyankagandhi @SoniaGandhiMP https://t.co/Ojl9nE4Q0A
